@relation detectMovementType

@attribute mean numeric
@attribute stdDeviation numeric
@attribute min numeric
@attribute max numeric
@attribute movementType {walking,biking,driving}
@attribute sensor {accelerometer}

@data
9.362537,0.247745,8.735457,10.42125,biking,accelerometer
9.366396,0.266971,8.764576,10.42125,biking,accelerometer
9.376153,0.372348,7.594627,11.332509,biking,accelerometer
9.364424,0.455536,7.594627,12.083413,biking,accelerometer
9.379957,0.70181,6.187227,12.824864,biking,accelerometer
9.430898,0.853958,6.187227,12.824864,biking,accelerometer
9.603504,1.722611,6.25874,18.955197,biking,accelerometer
9.640254,2.084677,5.475998,18.955197,biking,accelerometer
9.836418,2.171745,5.475998,18.39604,biking,accelerometer
9.661796,2.046059,5.986107,18.39604,biking,accelerometer
9.331451,1.66702,5.986107,14.459065,biking,accelerometer
9.716762,1.655637,6.039479,13.835066,biking,accelerometer
9.609359,1.331521,6.039479,13.218758,biking,accelerometer
9.446157,2.022762,5.370008,19.167364,biking,accelerometer
9.770403,3.121742,4.13627,19.167364,biking,accelerometer
10.005614,3.653864,3.017692,19.104609,biking,accelerometer
10.098805,4.046099,2.999751,17.735838,biking,accelerometer
10.109999,4.27968,2.999751,18.41966,biking,accelerometer
11.369586,5.448645,2.620313,28.055136,biking,accelerometer
12.745744,5.580007,2.620313,28.055136,biking,accelerometer
12.355184,5.158327,3.133984,24.602951,biking,accelerometer
10.322675,5.415756,2.079748,24.602951,biking,accelerometer
9.417634,4.115599,2.079748,20.17094,biking,accelerometer
9.559211,2.312545,4.957367,18.789249,biking,accelerometer
9.223183,1.272166,4.957367,14.172595,biking,accelerometer
9.30688,0.818209,7.519626,11.892786,biking,accelerometer
9.28522,0.70629,7.77766,11.892786,biking,accelerometer
9.3078,0.55515,7.77766,10.799677,biking,accelerometer
9.2127,0.544179,7.985581,10.590981,biking,accelerometer
9.413487,1.038243,6.87184,12.936264,biking,accelerometer
9.490404,1.202237,6.860102,12.936264,biking,accelerometer
9.29666,1.329894,5.941467,12.335095,biking,accelerometer
9.371142,1.554836,5.941467,13.002331,biking,accelerometer
9.357725,2.007682,5.107361,14.147162,biking,accelerometer
9.580045,2.732801,5.107361,17.502089,biking,accelerometer
9.575135,3.687615,2.945066,17.691378,biking,accelerometer
9.624468,3.866369,2.945066,18.269281,biking,accelerometer
9.897274,3.046995,4.67697,18.269281,biking,accelerometer
9.694106,2.093737,4.992271,17.089147,biking,accelerometer
9.791914,1.807343,5.284939,15.326686,biking,accelerometer
9.632145,2.247364,3.911943,15.776983,biking,accelerometer
9.957468,2.723805,3.911943,20.797168,biking,accelerometer
10.444865,3.592545,1.791408,22.618334,biking,accelerometer
10.094233,3.344931,1.791408,22.618334,biking,accelerometer
9.756483,1.967771,4.831909,17.751617,biking,accelerometer
9.381899,1.156646,7.110622,17.751617,biking,accelerometer
9.216039,0.053481,8.974143,9.492071,biking,accelerometer
9.209412,0.048687,8.992266,9.396086,biking,accelerometer
9.204542,0.050178,8.992266,9.396086,biking,accelerometer
9.202964,0.034566,9.097073,9.298337,biking,accelerometer
9.20234,0.029564,9.125087,9.289305,biking,accelerometer
9.202538,0.03454,9.066232,9.314307,biking,accelerometer
9.205021,0.040822,9.066232,9.314307,biking,accelerometer
9.206105,0.039058,9.105462,9.330972,biking,accelerometer
9.208616,0.036238,9.105462,9.330972,biking,accelerometer
9.211257,0.03166,9.14388,9.328215,biking,accelerometer
